codigo_tipo,codigo_cliente,numero_serie_cliente,numero_serie_aeronave,data_vistoria_afa,data_proc_source,qtd_demanda
0390,KS,103,10030,2027-02-23,2025-02-02,1
0390,NL,103,10028,2026-10-15,2025-02-02,1
0390,AT,2,32,2027-08-26,2025-02-02,1
0390,NL,102,10026,2026-07-30,2025-02-02,1
0390,KS,102,10029,2026-12-26,2025-02-02,1
0390,BR,27,19,2025-09-28,2025-02-02,1
0390,KS,2,29,2027-03-13,2025-02-02,1
0390,BR,15,21,2026-01-30,2025-02-02,1
0390,AT,101,10023,2026-02-10,2025-02-02,1
0390,NL,101,10025,2026-05-06,2025-02-02,1
0390,NL,105,10033,2027-08-08,2025-02-02,1
0390,BR,115,10021,2025-10-12,2025-02-02,1
0390,BR,127,10019,2025-04-27,2025-02-02,1
0390,HG,2,16,2025-01-27,2025-02-02,1
0390,NL,1,25,2026-08-30,2025-02-02,1
0390,NL,104,10031,2027-04-11,2025-02-02,1
0390,CZ,201,20020,2027-08-07,2025-02-02,1
0390,KS,3,30,2027-05-07,2025-02-02,1
0390,CZ,101,10020,2025-03-27,2025-02-02,1
0390,NL,4,31,2027-06-30,2025-02-02,1
0390,BR,18,27,2026-11-29,2025-02-02,1
0390,BR,118,10027,2026-09-03,2025-02-02,1
0390,AT,103,10024,2026-03-29,2025-02-02,1
0390,PG,4,18,2025-03-22,2025-02-02,1
0390,AT,1,23,2026-03-15,2025-02-02,1
0390,NL,5,33,2027-10-21,2025-02-02,1
0390,CZ,1,20,2025-07-25,2025-02-02,1
0390,PG,3,17,2024-12-13,2025-02-02,1
0390,PG,5,22,2025-11-23,2025-02-02,1
0190,JD,3,20181,2025-02-16,2025-02-02,1
0390,PG,105,10022,2025-08-17,2025-02-02,1
0190,JD,4,20180,2025-03-08,2025-02-02,1
0390,AT,3,24,2026-05-30,2025-02-02,1
0390,AT,102,10032,2027-06-10,2025-02-02,1
0390,KS,101,10013,2025-02-04,2025-02-02,1
0390,SP,1,80000,2026-10-01,2025-02-02,1
0390,NL,3,28,2027-01-19,2025-02-02,1
0390,NL,2,26,2026-10-11,2025-02-02,1
0190,JD,5,20218,2025-11-30,2025-02-02,1
