key_cluster_material,quantidade_demanda,quantidade_convertida,status_documento,data
SAP ONE_184464,0.0,1.0,PO,2024-12-02
SAP ONE_184486,0.0,1.0,PO,2024-12-02
SAP ONE_184503,0.0,1.0,PO,2024-12-02
SAP ONE_184553,0.0,1.0,PO,2024-12-02
SAP ONE_213538,0.0,1.0,PO,2024-12-02
SAP ONE_213538,1.0,0.0,--,2025-01-27
SAP ONE_184464,1.0,0.0,--,2025-02-03
SAP ONE_184486,1.0,0.0,--,2025-02-03
SAP ONE_184503,1.0,0.0,--,2025-02-03
SAP ONE_184553,1.0,0.0,--,2025-02-03
SAP ONE_213538,1.0,0.0,--,2025-02-03
SAP ONE_213538,1.0,0.0,--,2025-02-17
SAP ONE_184464,1.0,0.0,--,2025-02-24
SAP ONE_184486,1.0,0.0,--,2025-02-24
SAP ONE_184503,1.0,0.0,--,2025-02-24
SAP ONE_184553,1.0,0.0,--,2025-02-24
SAP ONE_213538,1.0,0.0,--,2025-02-24
